name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Delight Africa Corporate Training Solutions Kenya,ChIJKySJ-SkRLxgRR-9IspONe5w,"1st floor, Delight Center, Muindi Mbingu Street, opposite Jevanjee Gardens entry, +254722533771 Next to Jumia & Loris Parfum, Before Kenya Comfort Hotel, City CBD, City Centre, Central Nairobi, Kenya, Kenya",,-1.2813627,36.8186796,https://delightafrica.co.ke/,https://maps.google.com/?cid=11275761757543001927,3.3,(7),low-impact-training,low-impact-training,establishment; finance; health; point_of_interest
National Industrial Training Authority,ChIJM0INLRkRLxgRY1T4DeOnc00,"Commercial St, Nairobi, Kenya",,-1.2968949,36.8315467,http://www.nita.go.ke/,https://maps.google.com/?cid=5580988956875969635,4.3,(531),low-impact-training,low-impact-training,establishment; point_of_interest
Pitman Training Kenya,ChIJXc-VgNAXLxgR98a5mppOuK8,"Corner Plaza, 4th Floor Parklands Rd, Nairobi, Kenya",Parklands,-1.2620809,36.8043659,http://www.pitman-training.com/kenya,https://maps.google.com/?cid=12661956778279945975,4.9,(246),low-impact-training,low-impact-training,establishment; point_of_interest
Travel Consultancy Class,ChIJ-UUcKbERLxgRJWPZ5g2qmzM,"Veterans House, Nairobi, Kenya",,-1.2823482,36.8219802,https://kuduhills.com/travel-consultancy-class,https://maps.google.com/?cid=3718752894008779557,4.9,(122),low-impact-training,low-impact-training,establishment; point_of_interest
Impact Hub Nairobi,ChIJPdxtB9wXLxgRzHxtrd6SGTA,"Peponi Rd, Nairobi, Kenya",,-1.2355823,36.7827912,https://nairobi.impacthub.net/,https://maps.google.com/?cid=3465962873328336076,5,(2),low-impact-training,low-impact-training,establishment; point_of_interest
GallopGo Stables & Riding School,ChIJ5W2bsGQZLxgRvmygEmyyORE,"4.4E2 Forward Close, Old, off Kitisuru Rd, Nairobi, Kenya",,-1.233741,36.7541542,https://www.gallopgostables.com/,https://maps.google.com/?cid=1241219349555997886,5,(95),low-impact-training,low-impact-training,establishment; point_of_interest
Mind Ninjas EQ,ChIJsxW3ksEXLxgRwKOPEBcm6oE,"My School (Montessori) LTD, Westlands, Lower Kabete Road, Opposite Sarit Centre, Nairobi, Kenya",Westlands,-1.2592807,36.8027813,https://www.udemy.com/course/my-feelings-course-for-4-7-year-olds/?couponCode=MINDNINJAS,https://maps.google.com/?cid=9361336655946949568,5,(10),low-impact-training,low-impact-training,establishment; point_of_interest
E4Impact Entrepreneurship Centre Kenya,ChIJkZ0cjPEELxgRtaRKbxpW3lA,"Ushirika Rd, Nairobi, Kenya",,-1.3683533,36.7234948,https://www.e4iaccelerator.org/,https://maps.google.com/?cid=5827189639400301749,4.5,(63),low-impact-training,low-impact-training,establishment; point_of_interest
Somo Africa,ChIJ1076pYEaLxgR8FmtuZ6s3og,"Olympic Estate, Nairobi, Kenya",,-1.3135537,36.77967599999999,https://www.somoafrica.org/,https://maps.google.com/?cid=9862510031707920880,4.6,(68),low-impact-training,low-impact-training,establishment; point_of_interest
Business Architects - The Team Building Company,ChIJATazb4kRLxgRS-zJlVfhf1E,"Kamburu Dr, Nairobi, Kenya",,-1.2968807,36.7928995,http://www.teambuildingcompany.co.ke/,https://maps.google.com/?cid=5872660205405858891,4.9,(82),low-impact-training,low-impact-training,establishment; point_of_interest
