name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
Zindua Coding School,ChIJVZErhpkQLxgRLzG_FCxv4Q0,"Circular Innovation Hub, 233 Owashika Rd, Nairobi, Kenya",,-1.2824135,36.7639593,https://zinduaschool.com/,https://maps.google.com/?cid=1000202827370279215,4.9,(82),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; point_of_interest
Destiny Life Coaching,ChIJSU7mASoRLxgRhAC5I9d3vsk,"Savelberg retreat center Muringa Road, off Elgeyo Marakwet N, Nairobi, Kenya",,-1.2966896,36.7779406,https://www.dlc.co.ke/,https://maps.google.com/?cid=14537188413099540612,4.9,(215),hiit-bootcamp; low-impact-training,low-impact-training,website_extracted,approved,0.75,establishment; health; point_of_interest
Kara Innovation Hub,ChIJ5yiqKvRHLxgR5L8pEOoUN80,"Morovian Mall, Ruiru, Kenya",,-1.1530762,36.9614408,https://www.karainnovationhub.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9239391829945656233,https://maps.google.com/?cid=14787310897020387300,,,hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.875,establishment; point_of_interest
Langata Outdoor Training,ChIJ-8VjyJMRLxgRQ4IRl8Dvqqc,"MQCJ+3WV, Kitengela Rd, Nairobi, Kenya",,-1.3297591,36.7822883,https://www.facebook.com/Langata-Outdoor-Training-1810032049306317/,https://maps.google.com/?cid=12081732560822043203,,,hiit-bootcamp; outdoors,hiit-bootcamp; outdoors,fallback_original,approved,0.75,establishment; point_of_interest
MOM3NTUM Fitness (Rivaan Centre),ChIJz9ZhnWQXLxgRGHopKYAjGxg,"Muguga Green, Nairobi, Kenya",,-1.2583232,36.7886298,https://www.mom3ntum.com/,https://maps.google.com/?cid=1737021114634828312,4.6,(99),hiit-bootcamp; boxing; dance; strength-training; cycling; fitness; gym-time; martial-arts; low-impact-training; outdoors; personal-training; running; trampoline; yoga,gym-time; personal-training; strength-training; fitness; low-impact-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Devimpact Institute,ChIJ-wlQ5TsXLxgRq_mjFodmfkc,"32 Muthithi Rd, Nairobi, Kenya",,-1.2684933,36.8093031,https://devimpactinstitute.com/,https://maps.google.com/?cid=5151667754144889259,4.9,(53),hiit-bootcamp; low-impact-training,low-impact-training,website_extracted,approved,0.75,establishment; point_of_interest
Prosperas Skills Center,ChIJe2KDC6sRLxgRK_BjVl_BYnA,"Kimathi St, Nairobi, Kenya",,-1.2840677,36.8231152,https://www.prosperasskillscenter.com/,https://maps.google.com/?cid=8098247695181017131,,,hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; point_of_interest
Jays' Fitness Systems,ChIJ4UaotA11LxgRFwblYU5RXeo,"Shanghai, Greatwall Gardens Mall, Nairobi, Kenya",,-1.4296474,36.97674,http://jfs.co.ke/,https://maps.google.com/?cid=16887743574800926231,4.9,(59),hiit-bootcamp; martial-arts; personal-training; strength-training,personal-training; strength-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Adept Training Center,ChIJdadiNeMRLxgR-9F0wQdkw2o,"51899, Nairobi, Kenya",,-1.3245407,36.8375456,https://adepteliteconsulting.com/,https://maps.google.com/?cid=7693102572952146427,5,(4),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; point_of_interest; travel_agency
Ubunifu College,ChIJZ6_TF3URLxgR8u7zsDpRJMc,"Nairobi, Kenya",,-1.2771472,36.8214853,https://ubunifucollege.com/,https://maps.google.com/?cid=14349683625227972338,4.6,(27),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; point_of_interest; university
Indepth Research Institute (IRES),ChIJSyg-czARLxgRqCX_Rj4CGMs,"Tala Road, Off Kiambu Rd, Nairobi, Kenya",,-1.2313724,36.8379775,https://www.indepthresearch.org/,https://maps.google.com/?cid=14634449455642781096,4.6,(63),hiit-bootcamp; low-impact-training,low-impact-training,website_extracted,approved,0.75,establishment; point_of_interest
The Burn Club,ChIJ65Nz0lAXLxgRJnle6g0-hIA,"PQXR+HGP Azalea Square, General Mathenge Drive, Nairobi, Kenya",,-1.2510592,36.7914259,https://theburnclub.co.ke/,https://maps.google.com/?cid=9260594963268139302,4.9,(141),hiit-bootcamp; boxing; dance; cycling; fitness; gym-time; martial-arts; low-impact-training; outdoors; personal-training; running; strength-training; stretching,gym-time; low-impact-training; personal-training; strength-training; boxing; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
AFROFIT GYM | Delta Chambers (DC),ChIJA1AvGSgXLxgRi5Ioe_8yuFs,"Delta Chambers, Waiyaki Wy, Nairobi, Kenya",,-1.2663322,36.8029588,http://www.afrofit.life/,https://maps.google.com/?cid=6609088526030508683,4.8,(301),hiit-bootcamp; boxing; dance; strength-training; cycling; fitness; gym-time; martial-arts; low-impact-training; outdoors; personal-training; stretching,strength-training; fitness; gym-time; low-impact-training; personal-training,website_extracted,approved,0.75,cafe; establishment; food; gym; health; point_of_interest
AFROFIT GYM | Thika Road Mall (TRM),ChIJA8D1LPkVLxgRaVc7Q2DN7s0,"TRM, Nairobi, Kenya",,-1.2199522,36.8895233,http://www.afrofit.life/,https://maps.google.com/?cid=14839023635560879977,4.8,(450),hiit-bootcamp; boxing; dance; strength-training; cycling; fitness; gym-time; martial-arts; low-impact-training; outdoors; personal-training; running,strength-training; fitness; gym-time; low-impact-training; personal-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
FirstPower Fitness,ChIJ10vcwmwFLxgRr3aonarvxoA,"The Waterfront, Nairobi, Kenya",,-1.3290298,36.7147685,http://firstpowerfitness.com/,https://maps.google.com/?cid=9279367598312027823,4.9,(75),hiit-bootcamp; strength-training; fitness; low-impact-training; outdoors; personal-training,low-impact-training; personal-training; strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Alpha Fit,ChIJxxCft3EaLxgRl7ueunQ4eWU,"MQXF+H3F, Ngong Rd, Nairobi, Kenya",Ngong,-1.3018607,36.7725193,http://www.alphafit-ltd.com/,https://maps.google.com/?cid=7311937544011037591,4.5,(340),hiit-bootcamp; boxing; dance; strength-training; fitness; gym-time; cycling; martial-arts; personal-training; stretching; yoga,gym-time,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Lystra Gym And Spa,ChIJRZ_CeEITLxgRog4X8qBUf6U,"Harambee Rabai Rd, Buruburu The Point Mall Makadara, Nairobi, Kenya",Buruburu,-1.2942413,36.8757587,https://www.lystra.co.ke/,https://maps.google.com/?cid=11925343388533460642,4.4,(11),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Workout Warehouse Limited,ChIJTQWe2dQRLxgR9FMrkHrOGsQ,"Highwayy Mall, Uhuru Hwy, Nairobi, Kenya",,-1.3010008,36.8250883,https://workoutwarehouse.co.ke/,https://maps.google.com/?cid=14130833806628443124,4.6,(51),hiit-bootcamp; strength-training; cycling; fitness; gym-time; martial-arts; personal-training; stretching,strength-training; gym-time; personal-training; fitness,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
MOM3NTUM Fitness (Westlands Square),ChIJiZ3VaY8XLxgRZVqaEgrSBbc,"Westlands Square Mall 2nd Floor, Westlands Square Mall, ground floor Ring Rd Parklands, Nairobi, Kenya",Westlands,-1.2637328,36.802076,http://www.mom3ntum.com/,https://maps.google.com/?cid=13188178024527977061,4.7,(19),hiit-bootcamp; strength-training; cycling; fitness; gym-time; boxing; low-impact-training; martial-arts; outdoors; personal-training; running; stretching; trampoline,gym-time; personal-training; strength-training; fitness; low-impact-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
F45 Training Nairobi Lavington,ChIJ1f1bGroZLxgRKGURHJyxUwk,"Lavington Curve Mall 1st Floor, Nairobi, Kenya",Lavington,-1.2781969,36.7695027,https://f45training.com/lavington/home?,https://maps.google.com/?cid=672076053452252456,5,(20),hiit-bootcamp; strength-training; low-impact-training,low-impact-training; strength-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Harvest Skype Gym,ChIJ04LMCcYnLxgRidR0R4lw-aI,"Gitungo Rd Next to Metropolitan Teachers Sacco, Limuru Town., Kenya",,-1.108457,36.6406734,https://web.facebook.com/harvestlimuru,https://maps.google.com/?cid=11743541238256948361,4.5,(17),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
