name,address,website
Fitness Center Kenya,"Shah Mansion, 1st Floor, Moktar Daddah Street Opp Jeevanjee Gardens, Nairobi, Kenya",https://fitnesscenter.co.ke/
Ikigai Nairobi (Riverside),"Merchant Square, Riverside Dr, Nairobi, Kenya",https://ikigai.co.ke/riverside
Fitness Zone KE,"Moktar Daddah St, Nairobi, Kenya",https://zone.co.ke/
Ozone Trampoline Park,"Limuru Rd, Nairobi, Kenya",http://villagemarket-kenya.com/
TapaTapa Tap Dance Kenya,"TapaTapa Tap Dance, Nairobi, Kenya",https://linktr.ee/tapatapatapdancekenya
Dollarz Gentlemen's Club Westlands,"Bishan Plaza, Mpaka Rd, Nairobi, Kenya",http://dollarzlounge.com/
XS Millionaires Club,"Nairobi, Kenya",http://xs.co.ke/
One Dance Safaris,"Pili Trade Center, 3rd floor Mombasa Road, Nairobi, Kenya",https://onedancesafaris.com/
"Atara Movement Studio(Pilates, Yoga, Dance, Strength Training)","Langata Rd, Nairobi, Kenya",https://ataramovementstudios.simplybook.me/
Mostfit Physiotherapy Center- Physiotherapy Services in Parklands & Westlands Nairobi,"PRR4+WGJ Kenya Drapers, Ring Road, Nairobi, Kenya",https://www.mostfitphysiocenter.com/
Lanmed limited,"View Park Towers, 1st Floor Utalii St, Nairobi, Kenya",https://lanmedlimited.co.ke/
Tiba Quip Africa,"6th floor shop, Kimathi chambers, 6 Kimathi St, Nairobi, Kenya",https://www.tibaquipafrica.com/
Taneet Aesthetic Medicine Clinic | Morpheus8 Treatment | PureHydro® Treatment,"General Mathenge Drive, Nairobi, Kenya",http://www.taneetclinic.com/
Thrive Esthetics Kenya,"Tsavo Rd, Nairobi, Kenya",https://thriveaesthetics.co.ke/
Kenya Council Of Emergency Medical Technicians,"Southgate Center, Mkoma Rd, Nairobi, Kenya",https://kcemt.co.ke/
Medswift,"Southgate Center South B, Nairobi KE, Nairobi, Kenya",http://www.medswift.co.ke/
Kenya Medical Training College (KMTC) - Head Office,"Mbagathi Rd, Nairobi, Kenya",http://www.kmtc.ac.ke/
Kenya medical training college-nairobi,"Ngong Rd, North, Kenya",http://kmtc.ac.ke/
OCOA Ambulance Service,"Premier Court, Lantana Rd, Nairobi, Kenya",http://ocoambulance.co.ke/
Smart Gyms Junction,"Junction Mall, Nairobi, Kenya",http://smartgyms.co.ke/
NAIROBI FITNESS HUB,"Moi Ave, Nairobi, Kenya",https://nairobifitnesshub.com/
Zarnash Gym,"PQF9+5R5, Naushad Merali Dr, Nairobi, Kenya",http://www.zarnashgym.com/
Fitness Kenya,"Cianda House, Koinange St, Nairobi, Kenya",https://fitnesskenya.co.ke/
Inda Fitness Kenya,"Twiga Towers, Nairobi, Kenya",https://gymandfitness.co.ke/
Boost Fitness Gym,"Eastleigh, Nairobi, Kenya",https://www.boostfitness.co.ke/
Lantern Life Fitness Studio (Women’s Only Gym),"Mazeras, Nairobi, Kenya",https://lanternlifefitness.com/
Jojafit fitness,"delta chambers, Nairobi, Kenya",https://www.jojafitness.com/
Adromax Gym,"PQ3Q+X24, Ring Road, & Junction, Chania Ave, Nairobi, Kenya",http://adromaxfitness.com/
Lemon Studio,"Nelleon Place, 99 Rhapta Road, Nairobi, Kenya",https://www.squeezersclub.com/
Fitness Express,"Scripture Union Center, Argwings Kodhek Rd, Nairobi, Kenya",https://www.fitnessexpress.co.ke/
King's Gym & Spa,"PQPM+GVC, Rhapta Road, Nairobi, Kenya",http://gablesgroup.co.ke/
YMCA Central,"PRC7+243, Nairobi, Kenya",http://www.ymcakenya.org/
"Nairobi Kenpo Karate, Gym & Fitness Center","1st Floor, Terry House, Mfangano Street, Opp. Cianda Shopping Mall, Nairobi, Kenya",https://nairobikenpokarate.com/
"VLCC Slimming | Beauty | Fitness, Nairobi","Muthangari Dr, Nairobi, Kenya",https://www.vlccwellness.com/Kenya/?utm_source=gmb&utm_medium=organic
The Nextgen Mall,"MRGV+FJV, Mombasa Road, Nairobi, Kenya",https://www.facebook.com/NextgenShoppingMall/
Climb BlueSky,"Diamond Plaza 1, Parklands/Highridge Masari Rd, Old Tower 6th floor, Nairobi, Kenya",http://www.blueskykenya.org/climb
DECATHLON The Hub-Karen,"Dagoretti Rd, Nairobi, Kenya",https://www.decathlon.co.ke/
Safety Hub Enterpises | Certified safety boot supplier in kenya | workwear Manufacturer,"7th Floor, Rm, Junction Trade center, 704 Kenneth Matiba Rd, Nairobi, Kenya",https://www.safetyhub.co.ke/
Jersey World Store Nairobi,"Moi Ave, Nairobi, Kenya",https://jerseyworldstore.co.ke/?utm_source=google&utm_medium=organic&utm_campaign=google-business-profile
Nairobi Safety Shop Ltd,"Mfangano Street, Mfangano Trade Center, at the Haille Selasie and Mfangano Street Junction, Mfangano Trade Center 1st Floor Room F6, Nairobi, Kenya",https://www.nairobisafetyshop.org/
DENRI AFRICA,"Mama Ngina St, Nairobi, Kenya",http://denriafricastores.com/
"United Tools Ltd, Kenya","20 Butere Rd, Nairobi, Kenya",https://www.utl.co.ke/
Bags Mart Kenya,"Moi Avenue, Iconic Plaza , between Sawa mall and Sasa mall, Iconic Plaza Shop T10, Nairobi, Kenya",https://bagsmartkenya.com/
"Bobmil Industries Ltd, Head Office","Bobmil Complex, Mombasa Road, Nairobi, Kenya",http://www.bobmil.com/
Artfit,"Ayden Plaza, Mezzanine M05 Ngara Rd, Nairobi, Kenya",http://artfitapparels.shop/
Peekaboo,"Raphta Square, Rhapta Road, Nairobi, Kenya",http://www.peekaboo.ke/
Tripnut,"Tom Mboya St, Nairobi, Kenya",https://tripnut.co.ke/
Gym Gloves Kenya,"Tom Mboya St, Nairobi, Kenya",https://www.gymgloveskenya.com/
ASL Ltd - Trading Division (HQ),"Lusaka Rd, Nairobi, Kenya",https://www.asltrading.co.ke/
Animet LTD Kindaruma Road,"Langata Rd, TMALL, Kenya",https://www.animet.co.ke/
Bata Shoe Junction,"Nairobi, Kenya",https://www.batakenya.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=bata-new-junction
Rob's Magic (Romageco Kenya Ltd),"Commercial Street, Bunyala Rd, Nairobi, Kenya",https://www.robsmagic.com/
Oaks & Corks - Alcohol Delivery Nairobi,"Menelik Place, Menelik Rd, off Ngong Rd, Nairobi, Kenya",https://www.oaks.delivery/
Chandarana Foodplus Supermarket (Adlife Plaza Branch),"Ground Floor, Adlife Plaza, Ring Rd Kilimani, Nairobi, Kenya",http://foodplus.co.ke/
Chandarana Foodplus Supermarkets,"ABC Place, Ground Floor Waiyaki Wy, Nairobi, Kenya",http://www.foodplus.co.ke/
Oshwal Wholesalers (K) Ltd,"Opposite The Oval, 21 Jalaram Rd, Nairobi, Kenya",https://www.oshwalwholesalers.com/
Victoria Furnitures Ltd,"Victoria Courts, Parklands Rd, Nairobi, Kenya",https://www.victoriafurnitures.com/
Chandarana Foodplus Supermarket (Yaya),"Ground Floor, Yaya Centre, No. 209/ 18670 Argwings Kodhek Rd, Nairobi, Kenya",http://www.foodplus.co.ke/
Terra Pilates Studio,"689, Nairobi, Kenya",https://terrapilates.studio/
Ory Pilates,"Maji Mazuri Rd, Nairobi, Kenya",https://www.orywellness.com/?fbclid=PAQ0xDSwLWANJleHRuA2FlbQIxMQABpxXVzs4j-4mBThXYaxNP43pv8PvZ81cLZY5H9mwKnzoJx7gHuMu8wbNmb4yi_aem_9fvPruWKjiRniJrZ3jGwIg
