name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
LiveEasy Products Ltd,ChIJpcRUX8cXLxgRw7TvIt0-l9E,"Mpaka Plaza, Mpaka Rd, Nairobi, Kenya",,-1.2648485,36.8051541,https://liveeasy.co.ke/,https://maps.google.com/?cid=15102608994905076931,5,(263),boxing,boxing,fallback_original,rejected,0,establishment; point_of_interest,
Kogo Wines and Spirits,ChIJwe0uc_ERLxgRgo4Yqs661YA,"Kogo Star Plaza, Mai Mahiu Rd, Nairobi, Kenya",,-1.314623,36.8165659,https://www.instagram.com/kogowines,https://maps.google.com/?cid=9283531603673910914,4.9,(37),boxing,boxing,fallback_original,rejected,0.25,establishment; point_of_interest; store,
Quick Mart Lavington,ChIJdw_ZNIAbLxgR43gPy4WJLX8,"WestField Mall, 34 Gitanga Rd, Nairobi, Kenya",,-1.2899574,36.7735556,https://www.quickmart.co.ke/,https://maps.google.com/?cid=9164132024499271907,4.4,(4503),boxing,boxing,fallback_original,rejected,0,establishment; food; grocery_or_supermarket; point_of_interest; shopping_mall; store,
Naivas Foodmarket - Kilimani Mall,ChIJc98w6zcRLxgR-n6jx4Di7gc,"Tigoni Rd, Nairobi, Kenya",,-1.2910086,36.7881817,https://naivas.online/,https://maps.google.com/?cid=571643245455703802,4.4,(1258),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Naivas Supermarket-Eastgate Donholm,ChIJ76_xdToTLxgRqQdticr2tU8,"Outering rd, Nairobi, Kenya",,-1.2958756,36.8872169,https://naivas.online/,https://maps.google.com/?cid=5743768249530386345,4.3,(4403),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Naivas Foodmarket - The Point Buruburu,ChIJxRb6hN0TLxgRbrVrKaSzuMQ,"Nairobi, Kenya",,-1.2938373,36.8761327,https://naivas.online/,https://maps.google.com/?cid=14175277344799569262,4.4,(4067),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
QuickMart - Kilimani,ChIJ57Nx5fYRLxgR-aztan97z_I,"360 Kilimani Rd, Nairobi, Kenya",Kilimani,-1.2983013,36.7832031,https://quickmart.co.ke/,https://maps.google.com/?cid=17496338864542690553,4.5,(2604),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Naivas Supermarket - Ronald Ngala Nairobi,ChIJp_FU_ygRLxgR88e73DbqQQs,"PR7H+M2V, Ronald Ngala St, Nairobi, Kenya",,-1.285673,36.827768,http://www.naivas.online/,https://maps.google.com/?cid=811186929255827443,4.2,(4284),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Naivas Foodmarket - Broadwalk Mall,ChIJGTVmqnYXLxgRHT6FtwDI__M,"PRH7+J4W, Ojijo Rd, Nairobi, Kenya",,-1.2708912,36.812842,http://www.naivas.online/,https://maps.google.com/?cid=17581991375682223645,4.5,(472),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store,[object Object]
Naivas Foodmarket- Lifestyle Nairobi,ChIJS-RtV9QRLxgR-ix0liYijnY,"Ground Floor, Hazina Trade Centre Building, Monrovia St, Nairobi, Kenya",,-1.2817329,36.8183403,http://www.naivas.online/,https://maps.google.com/?cid=8542803092296707322,4.4,(1406),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
